0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-211.93698,62.581207,-122.81315,-60.745293,-13.89376,-29.789835,-3.978875,11.682742,12.963828,8.336421,-6.529819,-2.9961064,-12.88795,5.8859324,-2.4752254,-4.408312,-15.014478,-0.94399697,-2.5799103,6.0982966,-10.786229,-8.0634775,5.84409,-3.1225376,-5.9842277,-0.079944745,-3.6870894,4.7476764,-6.5300946,-5.0838842,0.48772603,7.5108857,-0.88535994,2.393814,-6.3923717,-2.1318593,2.276015,-0.79108363,-1.5400676,1.3211496,dog_bark
-417.0052,99.336624,-42.995583,51.073326,9.853778,7.9696927,11.197088,1.9291172,7.0303974,4.270228,-3.5847256,13.890946,-2.7644935,7.2725554,5.534419,1.8692906,1.7257473,7.0386686,-2.442267,3.4736145,0.0742289,6.218863,-0.18934058,6.654604,-0.26363158,0.20248906,-3.6517174,0.7769084,-5.9063616,0.87029886,-1.2502267,2.2772195,-1.5392426,0.76710856,-0.87872356,0.9087378,-2.681854,1.7067984,-1.7936063,1.7613845,children_playing
-452.39316,112.36253,-37.57807,43.195866,8.631845,15.379368,16.882149,1.2330472,6.8331223,3.9001155,-5.1688495,8.300045,1.9041388,6.6585517,3.820611,2.9016156,-3.5975335,0.8222544,-0.11868445,9.371599,2.447753,5.305525,-0.46876886,1.723286,-2.818305,2.0077457,-2.1846373,0.19048111,-2.8493907,2.363491,0.06725757,-0.15453982,-5.2859545,-0.7900161,-2.979211,-0.20284468,-3.0880818,3.8080137,-0.09005574,0.8691022,children_playing
-406.47922,91.1966,-25.043558,42.78452,11.5868435,5.054165,12.431632,-1.5999484,6.6560636,1.4423548,-4.6248703,14.211005,0.43427122,6.992811,0.4631756,-0.49895182,3.3375695,4.2080894,2.2851112,3.382272,-3.9330819,4.259821,-4.572517,2.6061785,-2.1226885,0.10393071,-3.608313,0.18719865,-4.28288,-1.2783612,-4.996307,1.279155,0.6357333,1.4141308,-2.8311207,1.808179,-2.1784313,-0.4364795,-3.0513437,-0.17001307,children_playing
-439.63867,103.86223,-42.658787,50.690277,12.209422,15.873465,11.729268,1.5335848,11.292244,2.5486214,-7.2909727,10.374461,2.101837,4.6987934,6.5470266,5.372394,-2.1907525,1.9804037,-4.6603904,9.253263,2.110969,4.173505,-0.43920183,3.2909656,-2.3978348,1.7053794,-1.55152,4.642389,-1.0033617,0.11767066,-2.9283948,-0.7740894,-0.98524654,2.5663686,-2.9768786,1.0717415,-1.8256013,3.2913966,-0.16967015,1.3925837,children_playing
-441.0859,108.92061,-25.777704,47.518364,10.559942,17.494894,13.2537565,4.494608,5.498724,3.7522383,-2.047655,8.526797,3.1174963,6.375348,3.0750608,0.5869245,-3.1064703,3.1254742,-1.9369684,6.500384,0.37915462,3.5165308,-2.1723998,2.8478487,-2.200634,1.3538193,-3.5629582,1.5216297,0.72633666,2.928861,-1.8457677,0.58760244,-3.3914866,2.127186,-2.1287718,0.22621031,-2.5790477,1.8247299,-1.745138,0.06333976,children_playing
-469.41965,109.28011,-18.456553,46.04301,11.825916,17.288229,10.015718,3.038617,6.914886,2.9937265,-0.95701575,11.985637,2.7677848,6.27371,1.4491736,1.191788,-2.5088716,1.8236705,-2.6049902,4.226474,-1.3500394,6.8277617,0.062223755,4.696486,-0.4479803,0.3748177,-1.85749,1.1718447,-1.2369617,2.7297668,-0.6328587,0.34185746,-3.7605987,1.0527534,-2.1252208,2.6647072,-1.8550098,2.2153208,0.104490645,0.9164224,children_playing
-457.14645,106.52766,-19.124525,39.871788,4.823955,22.051247,16.051298,7.627046,6.465356,5.748668,-2.000789,9.2373,1.5500603,2.9796615,2.2389245,0.5538616,0.06837494,6.210843,0.016094781,3.8128395,-0.9230404,2.910592,-1.1760966,3.3959277,-3.5774214,0.17304555,-2.6636205,-0.8366386,-1.9108847,1.613826,-0.11401588,0.5853119,-2.4161272,2.782931,-3.2590988,0.43626827,-1.8451543,-0.39152598,-3.7904031,2.274215,children_playing
-466.2641,118.13225,-29.881447,50.494637,5.178186,21.636282,13.622515,7.285783,8.18979,3.133917,-2.2993999,13.043378,0.5957664,8.151135,1.7542735,2.1690512,-1.5706273,3.4191566,-3.356669,3.2382135,-0.30630812,4.108424,0.7736971,3.9287999,-0.7785098,-1.4466082,-1.727823,-0.39336404,-1.3516034,0.906099,-0.119235665,2.4686522,-1.1836189,1.8826472,-1.9017386,0.22250137,-3.5730045,1.3138803,-1.7469563,-1.1393834,children_playing
-188.62563,102.429115,-2.3306003,-10.9461565,-8.9826765,-15.690951,-30.035513,-6.154767,-9.007838,-12.61334,-10.587378,-1.196813,-13.455126,-11.810285,-12.847272,-1.9622478,-8.531765,-4.8704824,-8.739532,3.8686159,-2.2428463,2.477431,-1.1134604,-2.6317518,-6.8802695,-2.8229282,-6.5258565,-2.54485,-5.271993,3.6976182,-8.957408,-1.2020584,-2.0441666,3.8393333,-6.9807653,-4.810834,-1.7235421,3.730233,-5.927493,-0.9260195,car_horn
